Row Labels,molecule,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER, CHEMICAL
180,acetone,28.241,55.438,3.375,15.531,6.4688,2.2812,2.5938,4.375,7.625,9.0312,2.9062,3.2188,10.031,7.5312,0.03125,5.2812,6.2188,8.625,6.5938,12.625,10.5
243,Benzoic acid,16.6327,34.0769,3.2308,2.6538,0.7692,2.1923,3.7308,5.0769,4.6154,16.5385,8.3077,3.6154,7.9615,8.5,7.9231,3.0769,8.6923,1.7308,1.1923,3.4615,10.3077
262,butanediol,53.059,51.147,14.176,19.618,5.2353,3.5294,3.6176,1.2647,2.1471,13.265,1.2647,2.3235,10.353,10.441,8.1765,1.3824,8.2059,0.029412,0.029412,3.4706,3.4706
264,butyric acid,86.98,22.857,0.55102,1.1633,0.061224,4.1633,7.4694,4.3469,1.1429,27.408,7.3878,6.5918,6.6735,20.449,19.327,14.265,16.735,4.5714,1.102,0.93878,14.163
323,coumarin,63.022,66.551,19.49,32.837,11.02,0.020408,0.020408,8.7347,6.3673,4.4694,6.2449,3.4286,9.2653,1.6735,1.6122,2.4082,0.69388,1.6531,1.449,11.306,12.286
454,octanal,65.5102,32.0833,0.0208,3.4792,3.125,0.0208,3.3542,3.9583,5.8958,11.2917,5.1875,6.4375,4.9375,14.5417,8.2083,3.6667,1.7292,5.4792,3.6875,3.3125,27.1042
679,Methyl sulfoxide,18.4286,35.7941,2.1176,9.0882,1,3.2941,4.0882,6,2.1765,16.9706,5.6176,5.2941,5.1765,10.9706,6.5294,2.7647,4.0882,1,3.7353,4.4118,7.5294
702,ethanol,21.667,58.667,7.8333,26.833,0.041667,0,2.0417,9.5,3.25,4.2917,0.20833,1.3333,0.79167,6.1667,3.125,0.083333,0,0.33333,0.91667,1.0833,4.7083
750,Glycine,19.75,58.905,4.8571,28.095,6.4524,1.9762,2.4048,4.619,2.619,8.5,2.9286,5.2857,7,6.5952,1.3095,4.9286,0.47619,2.9048,0.61905,8.8571,12.571
753,glycerol,25.261,50.643,0,9.2857,0,3.8571,1.2857,13.786,27.071,6.4286,0,0,0,9.8571,3.5,0.78571,3.6429,5,13,7.7857,5.2857
962,Water,33.435,52.12,2.6,10.64,4.16,1.12,1.52,10.36,2.6,0.6,3.08,0.04,2.6,4.44,0.76,2.68,0.56,3.92,12.48,5.12,4.92
1030,Propylene glycol,3.898,48.1538,3.5769,6.8462,2.2308,0.0385,2.3077,10,5.3846,6.2692,4.5385,7.6923,1.1154,3.3462,0.3846,2.5385,4.6923,2.8462,9.3462,7.7692,7.2308
1031,propanol,27.667,51,1.8667,14.1,2.1333,0.033333,3.6667,9.9667,4.8333,5.6,1.3667,1.4667,2.1333,12.2,0.73333,4.1,2.8333,1.0667,4.1,3.2667,8.1
1060,Pyruvic Acid,67.898,40.383,8.4681,19.7234,0.0213,1.2766,1.4468,6.3191,4.4043,9.8298,15.3617,5.9149,7.1064,9.7234,7.3617,4.7447,2.0426,6.3404,0.0213,0.6596,14.383
2682,1-Hexadecanol,21.9592,42.9773,13.1364,8.5227,9.1591,0.0682,1.5682,3.75,3.1136,5.2955,7.2273,10,1.8636,11.4773,12.9091,2.5227,0.6591,5.0455,5.3409,1.25,1.9091
3102,benzophenone,26.806,38.271,1.7083,4.7708,3.6042,0.25,0.52083,0.66667,7.2083,6.4583,13.833,14,4.8542,5.3125,0.8125,5.8542,3.6667,7.4583,2.1042,3.125,33.583
