,9,12,2,8,8,10,20.5,4,6,22.5,13,7,2,16,12,14,6,2,12,6,19,10,0,2,4,2,5.5,4,4,4,16,6,1.5,2,8,2,2,3,2,2,1,6,4,4,3,3,2,1,2,2,4,2,2,2,4,0,8,4,16,3,2,6,6,2,0,2,6,4,2,2,2,4,4,1,2,10,2,2,3,2,1,4,4,4,4
,alcoholic,ethereal,medical,fermented,fusel,musty,sweet,balsam,whiskey,fruity,green,woody,peony,waxy,orange,aldehydic,rose,mushroom,fresh,clean,fatty,floral,dusty,wet,oily,watery,earthy,wine,cocoa,nutty,pungent,bready,berry,malty,sweaty,ozone,orris,meaty,lifting,penetrating,grape,diffusive,choking,apple,pear,solvent,acetone,camphor,banana,fungal,buttery,natural,peach,spicy,coconut,lemon,citrus,ketonic,cheesy,dairy,soapy,rancid,sour,vegetable,dirty,pineapple,acidic,sharp,tobacco,sickening,putrid,vinegar,yeasty,tequila,violet,herbal,leafy,vegetative,lees,grass,creamy,weedy,peely,brandy,cucumber
alcohols  c2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohols  c3,2,,,2,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
alcohols  c4,,,,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohols  c5,,,,2,2,,2,2,2,,,,,,,,,,,,,,,,,,,2,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
alcohols  c6,2,2,,,2,,2,,,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohols  c7,,,,,,2,2,,,1,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
alcohols  c8,,,,,,,1.5,,,,2,,,2,2,2,2,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohols  c9,,,,,,,2,,,,,,,,2,,2,,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohols  c10,,,,,,,2,,,,,,,2,2,,,,,2,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
